,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,ikt_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,ikt_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5750376785727315
2,1,one-to-one,dn_0,ikt_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,ikt_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
4,1,one-to-one,dn_0,ikt_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
5,3,one-to-one,dn_2,ikt_2,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
6,3,one-to-one,dn_2,ikt_2,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
7,3,one-to-one,dn_2,ikt_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.34037650713476086
8,3,one-to-one,dn_2,ikt_2,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
9,3,one-to-one,dn_2,ikt_2,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
10,4,one-to-one,dn_4,ikt_3,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
11,4,one-to-one,dn_4,ikt_3,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
12,5,many-to-one,dn_3 dn_5,ikt_4,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
13,5,many-to-one,dn_3 dn_5,ikt_4,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
14,5,many-to-one,dn_3 dn_5,ikt_4,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
15,6,one-to-one,dn_6,ikt_5,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
16,6,one-to-one,dn_6,ikt_5,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
17,7,one-to-one,dn_7,ikt_6,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
18,7,one-to-one,dn_7,ikt_6,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
19,8,one-to-one,dn_8,ikt_8,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
20,9,one-to-many,dn_9,ikt_7 ikt_9,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
21,10,one-to-one,dn_10,ikt_10,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
22,10,one-to-one,dn_10,ikt_10,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
23,11,one-to-one,dn_11,ikt_11,Ippolita,Ippolita,PROPN,PROPN,nsubj,nmod,explicit_ref_pos,
24,11,one-to-one,dn_11,ikt_11,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,obj,explicit_full,
25,15,one-to-one,dn_15,ikt_15,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
26,16,one-to-one,dn_16,ikt_16,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
