,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,wk_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,wk_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.6568367493017228
2,1,one-to-one,dn_0,wk_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,wk_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
4,1,one-to-one,dn_0,wk_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
5,3,one-to-one,dn_2,wk_2,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
6,3,one-to-one,dn_2,wk_2,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
7,3,one-to-one,dn_2,wk_2,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
8,3,one-to-one,dn_2,wk_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
9,4,one-to-one,dn_3,wk_3,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
10,4,one-to-one,dn_3,wk_3,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
11,4,one-to-one,dn_3,wk_3,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
12,5,one-to-one,dn_4,wk_4,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
13,5,one-to-one,dn_4,wk_4,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
14,6,one-to-one,dn_5,wk_5,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
15,7,one-to-one,dn_6,wk_6,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
16,7,one-to-one,dn_6,wk_6,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
17,8,many-to-one,dn_7 dn_8,wk_7,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
18,8,many-to-one,dn_7 dn_8,wk_7,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
19,9,one-to-one,dn_9,wk_8,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
20,10,one-to-one,dn_10,wk_9,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
21,11,one-to-one,dn_11,wk_10,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
22,11,one-to-one,dn_11,wk_10,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
23,11,one-to-one,dn_11,wk_10,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nmod,explicit_ref_pos,
24,15,one-to-one,dn_15,wk_14,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
25,16,one-to-one,dn_16,wk_15,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
26,16,one-to-one,dn_16,wk_15,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
27,16,one-to-one,dn_16,wk_15,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,leftover_target,
28,17,one-to-one,dn_17,wk_16,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
29,17,one-to-one,dn_17,wk_16,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
30,17,one-to-one,dn_17,wk_16,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
31,18,one-to-one,dn_18,wk_17,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
32,18,one-to-one,dn_18,wk_17,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
33,18,one-to-one,dn_18,wk_17,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
34,19,one-to-one,dn_19,wk_18,crowd-of-men,crowd-of-men,NOUN,NOUN,pred,pred,explicit_full,
35,19,one-to-one,dn_19,wk_18,crowd-of-men,crowd-of-men,NULL,NULL,nsubj,nsubj,zero_zero_single,
36,20,one-to-many,dn_20,wk_19 wk_20,crowd-of-men,crowd-of-men,DET,NOUN,nmod,obj,explicit_ref_only,
37,20,one-to-many,dn_20,wk_19 wk_20,crowd-of-men,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
38,21,one-to-one,dn_21,wk_21,young-man,young-man,NOUN,NOUN,nsubj,nsubj,explicit_full,
39,22,one-to-one,dn_22,wk_22,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
40,23,one-to-many,dn_23,wk_23 wk_24,man-from-the-crowd,man-from-the-crowd,NOUN,NOUN,nsubj,nsubj,explicit_full,
41,23,one-to-many,dn_23,wk_23 wk_24,man-from-the-crowd,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
42,23,one-to-many,dn_23,wk_23 wk_24,man-from-the-crowd,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
43,23,one-to-many,dn_23,wk_23 wk_24,MISSING,man-from-the-crowd,MISSING,DET,MISSING,nmod,leftover_target,
44,23,one-to-many,dn_23,wk_23 wk_24,young-man,young-man,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
45,23,one-to-many,dn_23,wk_23 wk_24,young-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
46,23,one-to-many,dn_23,wk_23 wk_24,young-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
47,24,one-to-one,dn_24,wk_25,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
48,25,one-to-one,dn_25,wk_26,UNKNOWN,UNKNOWN,NULL,NULL,nsubj,nsubj,zero_zero_single,
49,25,one-to-one,dn_25,wk_26,suicidal-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
50,28,one-to-one,dn_28,wk_29,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
51,29,one-to-one,dn_29,wk_30,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
52,30,one-to-one,dn_30,wk_31,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
53,30,one-to-one,dn_30,wk_31,man-with-a-pipe,man-with-a-pipe,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.23985535619015094
54,30,one-to-one,dn_30,wk_31,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
55,30,one-to-one,dn_30,wk_31,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
56,30,one-to-one,dn_30,wk_31,MISSING,man-with-a-pipe,MISSING,NULL,MISSING,nsubj,leftover_target,
57,32,one-to-one,dn_32,wk_33,man-with-a-pipe,man-with-a-pipe,DET,DET,nmod,nmod,explicit_full,
58,32,one-to-one,dn_32,wk_33,man-with-a-pipe,man-with-a-pipe,DET,NOUN,nmod,nmod,explicit_ref_case,
59,34,one-to-one,dn_34,wk_35,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
60,34,one-to-one,dn_34,wk_35,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
61,35,one-to-one,dn_35,wk_36,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
62,35,one-to-one,dn_35,wk_36,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
63,36,one-to-one,dn_36,wk_37,crowd-of-men,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
64,36,one-to-one,dn_36,wk_37,MISSING,crowd-of-men,MISSING,PRON,MISSING,obj,leftover_target,
65,38,one-to-one,dn_38,wk_39,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
66,38,one-to-one,dn_38,wk_39,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
67,38,one-to-one,dn_38,wk_39,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
68,38,one-to-one,dn_38,wk_39,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
69,40,one-to-one,dn_40,wk_41,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
70,41,one-to-one,dn_41,wk_42,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
71,41,one-to-one,dn_41,wk_42,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
72,41,one-to-one,dn_41,wk_42,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
73,41,one-to-one,dn_41,wk_42,crowd-of-men,crowd-of-men,PRON,NOUN,nsubj,obj,explicit_ref_only,
74,45,one-to-one,dn_45,wk_46,MISSING,crowd-of-men,MISSING,DET,MISSING,nmod,leftover_target,
75,46,one-to-one,dn_46,wk_47,Giorgio,Giorgio,PROPN,PROPN,vocative,vocative,explicit_full,
76,46,one-to-one,dn_46,wk_47,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
77,47,one-to-one,dn_47,wk_48,Giorgio,Giorgio,NOUN,NOUN,obj,obj,explicit_full,
78,47,one-to-one,dn_47,wk_48,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
79,47,one-to-one,dn_47,wk_48,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
80,47,one-to-one,dn_47,wk_48,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
81,47,one-to-one,dn_47,wk_48,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
82,47,one-to-one,dn_47,wk_48,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
83,47,one-to-one,dn_47,wk_48,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
84,48,one-to-one,dn_48,wk_49,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
85,48,one-to-one,dn_48,wk_49,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
86,49,one-to-many,dn_49,wk_50 wk_51,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,nmod,nmod,explicit_ref_case,
87,49,one-to-many,dn_49,wk_50 wk_51,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,obj,nmod,explicit_ref_only,
88,50,one-to-one,dn_50,wk_52,Giorgio,Giorgio,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
89,52,one-to-one,dn_52,wk_54,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
90,54,one-to-one,dn_54,wk_56,Giorgio Ippolita,Giorgio Ippolita,DET,NOUN,nmod,obj,explicit_ref_only,
91,55,one-to-one,dn_55,wk_57,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
92,55,one-to-one,dn_55,wk_57,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
93,58,one-to-one,dn_58,wk_60,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
94,58,one-to-one,dn_58,wk_60,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
95,59,one-to-one,dn_59,wk_61,MISSING,Giorgio Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
96,60,one-to-one,dn_60,wk_62,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
97,60,one-to-one,dn_60,wk_62,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
98,61,one-to-one,dn_61,wk_63,Ippolita,Ippolita,PRON,PRON,obj,nsubj,explicit_ref_pos,
99,62,one-to-one,dn_62,wk_64,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
100,63,one-to-one,dn_63,wk_65,Giorgio,MISSING,PRON,MISSING,nmod,MISSING,leftover_source,
101,63,one-to-one,dn_63,wk_65,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
102,64,one-to-one,dn_64,wk_66,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
103,64,one-to-one,dn_64,wk_66,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
104,64,one-to-one,dn_64,wk_66,Ippolita,Ippolita,PRON,NOUN,obj,obj,explicit_ref_case,
105,65,many-to-one,dn_65 dn_66,wk_67,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
106,65,many-to-one,dn_65 dn_66,wk_67,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
107,66,one-to-one,dn_67,wk_68,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
108,66,one-to-one,dn_67,wk_68,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
109,67,one-to-one,dn_68,wk_69,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
110,68,one-to-one,dn_69,wk_70,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
111,68,one-to-one,dn_69,wk_70,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
112,69,one-to-many,dn_70,wk_71 wk_72 wk_73,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
113,69,one-to-many,dn_70,wk_71 wk_72 wk_73,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
114,69,one-to-many,dn_70,wk_71 wk_72 wk_73,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
115,69,one-to-many,dn_70,wk_71 wk_72 wk_73,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
116,71,one-to-one,dn_72,wk_75,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
117,71,one-to-one,dn_72,wk_75,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3461984111504121
118,71,one-to-one,dn_72,wk_75,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
119,71,one-to-one,dn_72,wk_75,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
