,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,iwsk_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,iwsk_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
2,1,one-to-one,dn_0,iwsk_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
3,1,one-to-one,dn_0,iwsk_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
4,3,one-to-one,dn_2,iwsk_2,Giorgio,Giorgio,PROPN,PRON,nmod,nmod,explicit_ref_case,
5,3,one-to-one,dn_2,iwsk_2,Giorgio,Giorgio,PRON,PROPN,obj,obj,explicit_ref_case,
6,3,one-to-one,dn_2,iwsk_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.2608659505498505
7,3,one-to-one,dn_2,iwsk_2,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
8,4,one-to-one,dn_3,iwsk_4,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
9,4,one-to-one,dn_3,iwsk_4,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
10,4,one-to-one,dn_3,iwsk_4,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
11,5,one-to-one,dn_4,iwsk_3,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
12,5,one-to-one,dn_4,iwsk_3,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
13,5,one-to-one,dn_4,iwsk_3,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,leftover_target,
