,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,ygc_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,ygc_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.6297207618409078
2,1,one-to-one,dn_0,ygc_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,ygc_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
4,1,one-to-one,dn_0,ygc_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
5,3,one-to-one,dn_2,ygc_2,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
6,3,one-to-one,dn_2,ygc_2,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
7,3,one-to-one,dn_2,ygc_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5620571457894263
8,3,one-to-one,dn_2,ygc_2,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
9,3,one-to-one,dn_2,ygc_2,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
10,4,one-to-one,dn_3,ygc_3,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
11,4,one-to-one,dn_3,ygc_3,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
12,5,one-to-one,dn_4,ygc_4,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
13,5,one-to-one,dn_4,ygc_4,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
14,5,one-to-one,dn_4,ygc_4,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,leftover_target,
15,6,one-to-one,dn_5,ygc_6,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
16,7,one-to-one,dn_6,ygc_5,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
17,7,one-to-one,dn_6,ygc_5,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
18,8,one-to-one,dn_7,ygc_7,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
19,8,one-to-one,dn_7,ygc_7,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
20,8,one-to-one,dn_7,ygc_7,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
21,9,one-to-one,dn_8,ygc_9,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
22,10,one-to-many,dn_9,ygc_8 ygc_10,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
23,11,one-to-one,dn_10,ygc_11,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
24,11,one-to-one,dn_10,ygc_11,MISSING,Giorgio Ippolita,MISSING,NOUN,MISSING,nsubj,leftover_target,
25,12,one-to-one,dn_11,ygc_12,Ippolita,Ippolita,PROPN,PROPN,nsubj,nmod,explicit_ref_pos,
26,12,one-to-one,dn_11,ygc_12,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nmod,explicit_ref_pos,
27,16,one-to-one,dn_15,ygc_16,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
