,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,mkm_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,mkm_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.4567794727664145
2,1,one-to-one,dn_0,mkm_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,mkm_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nsubj,explicit_ref_pos,
4,1,one-to-one,dn_0,mkm_0,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
5,3,one-to-one,dn_2,mkm_2,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
6,3,one-to-one,dn_2,mkm_2,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
7,3,one-to-one,dn_2,mkm_2,Ippolita,Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
8,3,one-to-one,dn_2,mkm_2,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
9,4,one-to-one,dn_4,mkm_3,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
10,4,one-to-one,dn_4,mkm_3,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
11,4,one-to-one,dn_4,mkm_3,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,leftover_target,
12,5,one-to-one,dn_3,mkm_4,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
13,5,one-to-one,dn_3,mkm_4,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
14,6,one-to-one,dn_5,mkm_6,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
15,7,one-to-one,dn_6,mkm_5,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
16,7,one-to-one,dn_6,mkm_5,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
17,8,one-to-one,dn_7,mkm_7,Ippolita,Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
18,8,one-to-one,dn_7,mkm_7,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
19,9,one-to-one,dn_8,mkm_9,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
20,10,one-to-many,dn_9,mkm_8 mkm_10,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
21,11,many-to-one,dn_10 dn_11,mkm_11,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
22,11,many-to-one,dn_10 dn_11,mkm_11,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
23,11,many-to-one,dn_10 dn_11,mkm_11,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
24,11,many-to-one,dn_10 dn_11,mkm_11,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,obj,explicit_full,
25,15,one-to-one,dn_15,mkm_15,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
26,16,one-to-one,dn_16,mkm_16,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
27,16,one-to-one,dn_16,mkm_16,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
