,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
0,1,one-to-one,dn_0,hrd_0,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
1,1,one-to-one,dn_0,hrd_0,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.39837370491892843
2,1,one-to-one,dn_0,hrd_0,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
3,1,one-to-one,dn_0,hrd_0,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,obj,explicit_full,
4,3,one-to-many,dn_2,hrd_2 hrd_3,Giorgio,Giorgio,PROPN,PROPN,nmod,nmod,explicit_full,
5,3,one-to-many,dn_2,hrd_2 hrd_3,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
6,3,one-to-many,dn_2,hrd_2 hrd_3,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
7,3,one-to-many,dn_2,hrd_2 hrd_3,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
8,3,one-to-many,dn_2,hrd_2 hrd_3,MISSING,Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
9,4,one-to-one,dn_3,hrd_4,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
10,4,one-to-one,dn_3,hrd_4,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
11,4,one-to-one,dn_3,hrd_4,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
12,5,one-to-one,dn_4,hrd_5,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
13,5,one-to-one,dn_4,hrd_5,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
14,6,one-to-one,dn_5,hrd_6,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
15,7,one-to-one,dn_6,hrd_7,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
16,7,one-to-one,dn_6,hrd_7,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
17,8,one-to-one,dn_7,hrd_8,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
18,9,one-to-one,dn_8,hrd_10,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
19,9,one-to-one,dn_8,hrd_10,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
20,10,one-to-one,dn_9,hrd_9,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
21,11,one-to-one,dn_10,hrd_11,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
22,12,one-to-one,dn_11,hrd_12,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
23,12,one-to-one,dn_11,hrd_12,crowd-of-men,crowd-of-men,NOUN,NOUN,obj,nmod,explicit_ref_pos,
24,16,one-to-one,dn_15,hrd_16,Giorgio,Giorgio,PROPN,PROPN,nsubj,nsubj,explicit_full,
25,17,one-to-one,dn_16,hrd_17,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
26,17,one-to-one,dn_16,hrd_17,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
27,17,one-to-one,dn_16,hrd_17,MISSING,suicidal-man,MISSING,NULL,MISSING,nsubj,leftover_target,
28,18,one-to-one,dn_17,hrd_18,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,nsubj,nsubj,explicit_ref_case,
29,18,one-to-one,dn_17,hrd_18,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
30,18,one-to-one,dn_17,hrd_18,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
31,18,one-to-one,dn_17,hrd_18,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,nmod,explicit_full,
32,19,one-to-one,dn_18,hrd_19,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
33,20,one-to-one,dn_19,hrd_20,crowd-of-men,crowd-of-men,NOUN,NOUN,pred,pred,explicit_full,
34,20,one-to-one,dn_19,hrd_20,crowd-of-men,crowd-of-men,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
35,21,one-to-one,dn_20,hrd_21,crowd-of-men,crowd-of-men,DET,PRON,nmod,nmod,explicit_ref_case,
36,21,one-to-one,dn_20,hrd_21,crowd-of-men,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
37,22,one-to-one,dn_21,hrd_22,young-man,young-man,NOUN,NOUN,nsubj,nsubj,explicit_full,
38,22,one-to-one,dn_21,hrd_22,MISSING,young-man,MISSING,NULL,MISSING,nsubj,leftover_target,
39,23,one-to-one,dn_22,hrd_23,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
40,24,one-to-many,dn_23,hrd_24 hrd_25,MISSING,UNKNOWN,MISSING,PRON,MISSING,nsubj,leftover_target,
41,24,one-to-many,dn_23,hrd_24 hrd_25,man-from-the-crowd,man-from-the-crowd,NOUN,NOUN,nsubj,nsubj,explicit_full,
42,24,one-to-many,dn_23,hrd_24 hrd_25,man-from-the-crowd,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
43,24,one-to-many,dn_23,hrd_24 hrd_25,man-from-the-crowd,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
44,24,one-to-many,dn_23,hrd_24 hrd_25,MISSING,man-from-the-crowd,MISSING,DET,MISSING,nmod,leftover_target,
45,24,one-to-many,dn_23,hrd_24 hrd_25,young-man,young-man,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
46,24,one-to-many,dn_23,hrd_24 hrd_25,young-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
47,24,one-to-many,dn_23,hrd_24 hrd_25,young-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
48,25,one-to-one,dn_24,hrd_26,suicidal-man,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
49,26,one-to-one,dn_25,hrd_27,UNKNOWN,UNKNOWN,NULL,NULL,nsubj,nsubj,zero_zero_single,
50,26,one-to-one,dn_25,hrd_27,suicidal-man,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
51,29,one-to-one,dn_28,hrd_30,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
52,30,one-to-one,dn_29,hrd_31,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
53,31,one-to-one,dn_30,hrd_32,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
54,31,one-to-one,dn_30,hrd_32,man-with-a-pipe,man-with-a-pipe,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.4645120002780722
55,31,one-to-one,dn_30,hrd_32,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
56,31,one-to-one,dn_30,hrd_32,man-with-a-pipe,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
57,31,one-to-one,dn_30,hrd_32,MISSING,man-with-a-pipe,MISSING,NULL,MISSING,nsubj,leftover_target,
58,33,one-to-many,dn_32,hrd_34 hrd_35,man-with-a-pipe,man-with-a-pipe,DET,PRON,nmod,nmod,explicit_ref_case,
59,33,one-to-many,dn_32,hrd_34 hrd_35,man-with-a-pipe,man-with-a-pipe,DET,PRON,nmod,nmod,explicit_ref_case,
60,35,one-to-one,dn_34,hrd_37,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
61,35,one-to-one,dn_34,hrd_37,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
62,36,one-to-one,dn_35,hrd_38,MISSING,cart-driver,MISSING,DET,MISSING,nmod,leftover_target,
63,36,one-to-one,dn_35,hrd_38,crowd-of-men,crowd-of-men,NOUN,NOUN,nsubj,nsubj,explicit_full,
64,36,one-to-one,dn_35,hrd_38,MISSING,crowd-of-men,MISSING,NULL,MISSING,nsubj,leftover_target,
65,37,one-to-one,dn_36,hrd_39,crowd-of-men,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
66,39,one-to-one,dn_38,hrd_41,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
67,39,one-to-one,dn_38,hrd_41,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
68,39,one-to-one,dn_38,hrd_41,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
69,41,one-to-one,dn_40,hrd_43,man-with-a-pipe,man-with-a-pipe,NOUN,NOUN,nsubj,nsubj,explicit_full,
70,42,one-to-many,dn_41,hrd_44 hrd_45,cart-driver,cart-driver,NOUN,NOUN,nsubj,nsubj,explicit_full,
71,42,one-to-many,dn_41,hrd_44 hrd_45,cart-driver,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
72,42,one-to-many,dn_41,hrd_44 hrd_45,MISSING,cart-driver,MISSING,NULL,MISSING,nsubj,leftover_target,
73,42,one-to-many,dn_41,hrd_44 hrd_45,crowd-of-men,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
74,47,one-to-one,dn_46,hrd_50,Giorgio,Giorgio,PROPN,PROPN,vocative,vocative,explicit_full,
75,47,one-to-one,dn_46,hrd_50,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
76,48,one-to-many,dn_47,hrd_51 hrd_52,Giorgio,Giorgio,NOUN,NOUN,obj,obj,explicit_full,
77,48,one-to-many,dn_47,hrd_51 hrd_52,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
78,48,one-to-many,dn_47,hrd_51 hrd_52,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
79,48,one-to-many,dn_47,hrd_51 hrd_52,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
80,48,one-to-many,dn_47,hrd_51 hrd_52,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
81,48,one-to-many,dn_47,hrd_51 hrd_52,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
82,48,one-to-many,dn_47,hrd_51 hrd_52,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
83,48,one-to-many,dn_47,hrd_51 hrd_52,crowd-of-men,crowd-of-men,NOUN,NOUN,nmod,obj,explicit_ref_pos,
